"taxon_names","status","min.age","max.age","site"
"Choerolophodon chioticus","extinct",14.2,16.4,824
"Choerolophodon corrugatus","extinct",17.2,19.5,336
"Choerolophodon corrugatus","extinct",16.4,17.2,337
"Choerolophodon corrugatus","extinct",7,11.62,825
"Choerolophodon guangheensis","extinct",13.5,15,826
"Choerolophodon pentelici","extinct",9.5,11.2,82
"Choerolophodon pentelici","extinct",9.5,11.2,833
"Choerolophodon pentelici","extinct",7.1,9.5,85
"Choerolophodon pentelici","extinct",8.2,9.5,834
"Choerolophodon pentelici","extinct",9,9.5,835
"Choerolophodon pentelici","extinct",8.2,9,836
"Choerolophodon pentelici","extinct",7,7,94
"Choerolophodon pentelici","extinct",7.1,9,95
"Choerolophodon pentelici","extinct",8.16,8.96,837
"Choerolophodon pentelici","extinct",7.9,8.16,838
"Choerolophodon pentelici","extinct",7.4,7.9,839
"Choerolophodon pentelici","extinct",7.4,7.9,840
"Choerolophodon pentelici","extinct",7.4,7.9,98
"Choerolophodon pentelici","extinct",9,11.2,841
"Choerolophodon pentelici","extinct",9,9.5,842
"Choerolophodon pentelici","extinct",9.428,9.491,843
"Choerolophodon pentelici","extinct",9.069,9.149,844
"Choerolophodon pentelici","extinct",8.2,9,845
"Choerolophodon pentelici","extinct",7.1,9,846
"Choerolophodon pentelici","extinct",5.3,9,847
"Choerolophodon pentelici","extinct",8.2,9,848
"Choerolophodon pentelici","extinct",7.1,8.2,849
"Choerolophodon pentelici","extinct",7.1,8.2,204
"Choerolophodon pentelici","extinct",7.1,8.2,205
"Choerolophodon pentelici","extinct",7.1,8.2,206
"Choerolophodon pentelici","extinct",7.1,8.2,850
"Choerolophodon pentelici","extinct",7.1,8.2,851
"Choerolophodon pentelici","extinct",5.3,8.2,852
"Choerolophodon pentelici","extinct",7.1,8.2,853
"Choerolophodon pentelici","extinct",7.1,8.2,854
"Choerolophodon pentelici","extinct",6.7,7.8,855
"Choerolophodon pentelici","extinct",6.9,7.2,207
"Choerolophodon pentelici","extinct",6.9,7.2,208
"Choerolophodon pentelici","extinct",6.9,7.2,856
"Choerolophodon pentelici","extinct",6.9,7.2,857
"Choerolophodon pentelici","extinct",5.3,7.1,858
"Choerolophodon pentelici","extinct",5.3,7.1,859
"Choerolophodon pentelici","extinct",5.3,7.1,860
"Choerolophodon pentelici","extinct",4.2,7.1,861
"Choerolophodon pentelici","extinct",11.2,12.85,862
"Choerolophodon pentelici","extinct",7.1,11.2,863
"Choerolophodon pentelici","extinct",8.2,11.2,864
"Choerolophodon pentelici","extinct",9,11.2,865
