species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Mammut borsoni,Eastern Europe,Starovo_siteSet_1,"5,33","2,6",Mammutidae,
Mammut borsoni,Eastern Europe,Stavrovo_siteSet_1,"5,33","2,6",Mammutidae,
Mammut borsoni,Eastern Europe,Timkovo_siteSet_1,"5,33","4,42",Mammutidae,
Mammut borsoni,Eastern Europe,Usatovo_siteSet_1,"5,33","2,6",Mammutidae,
Mammut borsoni,Eastern Europe,Zhmerinka_siteSet_1,"5,33","4,42",Mammutidae,
Mammuthus subplanifrons,Southern Africa,Vaal River_siteSet_1,"5,33","3,6",Elephantidae,
Stegodibelodon schneideri,Middle Africa,Kolinga_siteSet_1,"5,33","3,6",Elephantidae,
Sinomastodon sendaicus,Eastern Asia,"Kitayama 3–7, Sendai_siteSet_1","5,33","4,5",Gomphotheriidae,
Anancus arvernensis,Southern Europe,Alcoy_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Southern Europe,Alcoy-Mina_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Western Europe,Celleneuve_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Eastern Europe,Dorkovo_siteSet_1,"5,3","4,2",Gomphotheriidae,
Mammut borsoni,Eastern Europe,Dorkovo_siteSet_1,"5,3","4,2",Mammutidae,
Anancus arvernensis,Eastern Europe,Gödöllö_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Southern Europe,Gorafe 1_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus ultimus,Middle Africa,Kolle_siteSet_1,"5,3","4,2",Gomphotheriidae,
Stegodon kaisensis,Middle Africa,Kolle_siteSet_1,"5,3","4,2",Stegodontidae,
Deinotherium bozasi,Eastern Africa,Apak (Lothagam)_siteSet_1,"5,3","4,2",Deinotheriidae,
Elephas ekorensis,Eastern Africa,Apak (Lothagam)_siteSet_1,"5,3","4,2",Elephantidae,
Anancus kenyensis,Middle Africa,Kossom Bougoudi_siteSet_1,"5,3","4,2",Gomphotheriidae,
Primelephas korotorensis,Middle Africa,Kossom Bougoudi_siteSet_1,"5,3","4,2",Elephantidae,
Primelephas korotorensis,Middle Africa,Kossom Bougoudi_siteSet_1,"5,3","4,2",Elephantidae,
Stegodon kaisensis,Middle Africa,Kossom Bougoudi_siteSet_1,"5,3","4,2",Stegodontidae,
Anancus arvernensis,Eastern Europe,Kosyakino_siteSet_1,"5,3","4,2",Gomphotheriidae,
Loxodonta adaurora,Eastern Africa,Apak (Lothagam)_siteSet_1,"5,3","4,2",Elephantidae,
Anancus sinensis,Eastern Asia,Lingtai-xiaoshigou-3_siteSet_1,"5,3","3,4",Gomphotheriidae,
Sinomastodon huananensis,Eastern Asia,Mianxian-yangjiawan_siteSet_1,"5,3","2,6",Gomphotheriidae,
Stegodon zdanskyi,Eastern Asia,Mianxian-yangjiawan_siteSet_1,"5,3","2,6",Stegodontidae,
Anancus arvernensis,Western Europe,Montpellier_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Southern Europe,Peralejos E_siteSet_1,"5,3","4,2",Gomphotheriidae,
Anancus arvernensis,Western Europe,Saint Laurent des Arbres_siteSet_1,"5,3","4,2",Gomphotheriidae,
Primelephas korotorensis,Eastern Africa,Shoshamagai 2_siteSet_1,"5,3","4,2",Elephantidae,
Mammuthus subplanifrons,Middle Africa,Sinda 14_siteSet_1,"5,3","4,2",Elephantidae,
Stegodon kaisensis,Middle Africa,Sinda 14_siteSet_1,"5,3","4,2",Stegodontidae,
Mammuthus subplanifrons,Middle Africa,Sinda All_siteSet_1,"5,3","4,2",Elephantidae,
Stegodon kaisensis,Middle Africa,Sinda All_siteSet_1,"5,3","4,2",Stegodontidae,
Anancus arvernensis,Western Europe,Trévoux_siteSet_1,"5,3","4,2",Gomphotheriidae,
Sinomastodon huananensis,Eastern Asia,Yangxian_siteSet_1,"5,3","2,6",Gomphotheriidae,
Mammut borsoni,Eastern Asia,Yushe-Gaozhuang_siteSet_1,"5,3","3,4",Mammutidae,
Stegodon zdanskyi,Eastern Asia,Yushe-Gaozhuang_siteSet_1,"5,3","3,4",Stegodontidae,
Anancus sinensis,Eastern Asia,Yushe-Nihecun(L25)_siteSet_1,"5,3","3,4",Gomphotheriidae,
Anancus kenyensis,Eastern Africa,Agera Gawtu_siteSet_1,"5,2","4,9",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Amba East_siteSet_1,"5,2","5,2",Deinotheriidae,
Primelephas korotorensis,Eastern Africa,Amba East_siteSet_1,"5,2","5,2",Elephantidae,
Anancus kenyensis,Eastern Africa,Amba West_siteSet_1,"5,2","5,2",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Amba West_siteSet_1,"5,2","5,2",Deinotheriidae,
Loxodonta cookei,Southern Africa,Langebaanweg (LQSM + MPPM)_siteSet_1,"5,15","5,15",Elephantidae,
Mammuthus subplanifrons,Southern Africa,Langebaanweg (LQSM + MPPM)_siteSet_1,"5,15","5,15",Elephantidae,
Mammuthus subplanifrons,Eastern Africa,Chiwondo 1_siteSet_1,5,4,Elephantidae,
Mammuthus subplanifrons,Eastern Africa,Chiwondo 3 (Unit 2B)_siteSet_1,5,4,Elephantidae,
Stegotetrabelodon orbus,Eastern Africa,Lothagam - Apak Mb._siteSet_1,5,"4,2",Elephantidae,
Stegotetrabelodon orbus,Eastern Africa,Lothagam-Nawata fm/Apak mbr_siteSet_1,5,"4,2",Elephantidae,
Stegotetrabelodon orbus,Eastern Africa,Lothagam-Nawata fm/Apak mbr_siteSet_1,5,"4,2",Elephantidae,
Anancus sinensis,Eastern Asia,Yushe_siteSet_2,"4,9","3,6",Gomphotheriidae,
