"species","region","minimum.age","maximum.age","family","Site"
"Loxodonta atlantica","Africa","0.126","0.774","Elephantidae",401
"Loxodonta atlantica","Africa","0.59","0.6","Elephantidae",402
"Loxodonta cookei","Africa","5.6","6.2","Elephantidae",403
"Loxodonta cookei","Africa","5.15","5.15","Elephantidae",404
"Loxodonta cyclotis","Africa","0.01","0.012","Elephantidae",405
"Loxodonta exoptata","Africa","3.6","5.33","Elephantidae",17
"Loxodonta exoptata","Africa","3.6","5.33","Elephantidae",406
"Loxodonta exoptata","Africa","4","4.5","Elephantidae",350
"Loxodonta exoptata","Africa","3.6","4.2","Elephantidae",28
"Loxodonta exoptata","Africa","3.6","4.2","Elephantidae",29
"Loxodonta exoptata","Africa","3.58","3.85","Elephantidae",407
"Loxodonta exoptata","Africa","3.4","3.6","Elephantidae",36
"Loxodonta exoptata","Africa","2.6","3.56","Elephantidae",408
"Loxodonta exoptata","Africa","2.6","3.56","Elephantidae",378
"Loxodonta exoptata","Africa","2.64","3.4","Elephantidae",49
"Loxodonta exoptata","Africa","3.18","3.22","Elephantidae",50
"Loxodonta exoptata","Africa","2.32","2.66","Elephantidae",409
"Loxodonta exoptata","Africa","2.32","2.66","Elephantidae",410
"Loxodonta exoptata","Africa","2.5","2.5","Elephantidae",60
"Loxodonta exoptata","Africa","3","3.5","Elephantidae",411
"Mammuthus africanavus","Africa","3.6","5.33","Elephantidae",412
"Mammuthus africanavus","Africa","3.4","4.2","Elephantidae",413
"Mammuthus africanavus","Africa","2.588","3.6","Elephantidae",414
"Mammuthus africanavus","Africa","2.588","3.6","Elephantidae",415
"Mammuthus africanavus","Africa","2.6","3.4","Elephantidae",416
"Mammuthus africanavus","Africa","1.95","2.6","Elephantidae",417
"Mammuthus columbi","North America","0.126","0.781","Elephantidae",425
"Mammuthus columbi","North America","0.126","0.781","Elephantidae",426
"Mammuthus columbi","North America","0.126","0.781","Elephantidae",426
"Mammuthus columbi","North America","0.012","0.3","Elephantidae",427
"Mammuthus columbi","North America","0.012","0.3","Elephantidae",428
"Mammuthus columbi","North America","0.012","0.3","Elephantidae",429
"Mammuthus columbi","North America","0.012","0.3","Elephantidae",430
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",431
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",432
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",433
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",434
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",435
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",436
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",437
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",438
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",439
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",440
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",441
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",442
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",443
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",444
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",445
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",446
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",447
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",448
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",449
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",450
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",451
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",452
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",453
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",454
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",455
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",456
"Mammuthus columbi","North America","0.0117","0.126","Elephantidae",457
