"species","region","minimum.age","maximum.age","family","Site"
"Loxodonta_exoptata","Africa","2.32","2.66","Elephantidae",410
"Loxodonta_exoptata","Africa","2.5","2.5","Elephantidae",60
"Loxodonta_exoptata","Africa","3","3.5","Elephantidae",411
"Mammuthus_africanavus","Africa","3.6","5.33","Elephantidae",412
"Mammuthus_africanavus","Africa","3.4","4.2","Elephantidae",413
"Mammuthus_africanavus","Africa","2.588","3.6","Elephantidae",414
"Mammuthus_africanavus","Africa","2.588","3.6","Elephantidae",415
"Mammuthus_africanavus","Africa","2.6","3.4","Elephantidae",416
"Mammuthus_africanavus","Africa","1.95","2.6","Elephantidae",417
"Mammuthus_meridionalis","Africa","2.6","3.56","Elephantidae",495
"Mammuthus_meridionalis","Africa","2.6","2.6","Elephantidae",496
"Mammuthus_meridionalis","Africa","1.78","1.95","Elephantidae",497
"Mammuthus_meridionalis","Africa","1.6","1.8","Elephantidae",498
"Mammuthus_meridionalis","Africa","1.6","1.8","Elephantidae",498
"Mammuthus_subplanifrons","Africa","5.3","7.1","Elephantidae",578
"Mammuthus_subplanifrons","Africa","4","5","Elephantidae",579
"Mammuthus_subplanifrons","Africa","4","5","Elephantidae",580
"Mammuthus_subplanifrons","Africa","4.2","5.3","Elephantidae",581
"Mammuthus_subplanifrons","Africa","4.2","5.3","Elephantidae",582
"Mammuthus_subplanifrons","Africa","3.6","5.33","Elephantidae",583
"Mammuthus_subplanifrons","Africa","5.15","5.15","Elephantidae",404
"Palaeoloxodon_jolensis","Africa","0.196","0.205","Elephantidae",641
"Palaeoloxodon_jolensis","Africa","0.104","0.196","Elephantidae",642
"Palaeoloxodon_jolensis","Africa","0.126","0.774","Elephantidae",401
"Palaeoloxodon_recki","Africa","1.53","1.88","Elephantidae",656
"Palaeoloxodon_recki","Africa","1.62","1.88","Elephantidae",657
"Palaeoloxodon_recki","Africa","1.53","1.87","Elephantidae",71
"Palaeoloxodon_recki","Africa","1.53","1.87","Elephantidae",71
"Palaeoloxodon_recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon_recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon_recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon_recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon_recki","Africa","0.8","1.8","Elephantidae",658
"Palaeoloxodon_recki","Africa","0.8","1.8","Elephantidae",659
"Palaeoloxodon_recki","Africa","1.53","1.76","Elephantidae",660
"Palaeoloxodon_recki","Africa","1.38","1.53","Elephantidae",661
"Palaeoloxodon_recki","Africa","1.38","1.53","Elephantidae",662
"Palaeoloxodon_recki","Africa","1.38","1.53","Elephantidae",663
"Palaeoloxodon_recki","Africa","0.74","1.33","Elephantidae",664
"Palaeoloxodon_recki","Africa","0.95","1.15","Elephantidae",665
"Palaeoloxodon_recki","Africa","0.8","1.042","Elephantidae",666
"Palaeoloxodon_recki","Africa","0.78","1","Elephantidae",667
"Palaeoloxodon_recki","Africa","0.78","0.95","Elephantidae",668
"Palaeoloxodon_recki","Africa","0.8","1.55","Elephantidae",669
"Palaeoloxodon_recki","Africa","0.8","1.55","Elephantidae",669
"Primelephas_korotorensis","Africa","6.54","7.44","Elephantidae",10
"Primelephas_korotorensis","Africa","5.3","7.1","Elephantidae",672
"Primelephas_korotorensis","Africa","5.3","6.54","Elephantidae",11
"Primelephas_korotorensis","Africa","5.6","6.3","Elephantidae",673
"Primelephas_korotorensis","Africa","5.6","6.3","Elephantidae",674
"Primelephas_korotorensis","Africa","5.6","6.2","Elephantidae",675
"Primelephas_korotorensis","Africa","5.6","6.2","Elephantidae",676
